chrom	start	end	in_tpbase	in_tp	in_fn	in_fp	refined	out_tpbase	out_tp	out_fn	out_fp	state
chr20	32723368	32724738	0	0	0	0	False	0	0	0	0	TN
chr20	32724826	32725100	0	0	0	0	False	0	0	0	0	TN
chr20	34205518	34206061	1	1	0	0	False	1	1	0	0	TP
chr20	34235649	34236314	0	0	2	1	True	2	2	0	0	TP
chr20	36642041	36642323	1	1	0	0	False	1	1	0	0	TP
chr20	38123489	38124806	2	2	1	4	True	7	7	0	0	TP
chr20	38194432	38194767	2	2	0	0	False	2	2	0	0	TP
chr20	41196109	41196749	3	3	1	0	True	4	4	0	0	TP
chr20	44763795	44764386	2	2	1	0	True	2	2	0	0	TP
chr20	45600468	45600847	2	2	2	0	True	2	2	0	0	TP
chr20	46788706	46789631	2	2	0	0	False	2	2	0	0	TP
chr20	47225423	47225746	2	2	0	0	False	2	2	0	0	TP
chr20	48390797	48391332	2	2	0	0	False	2	2	0	0	TP
chr20	48449604	48450562	4	4	2	0	True	6	6	0	0	TP
chr20	48959258	48959753	2	2	0	0	False	2	2	0	0	TP
chr20	50258349	50258652	2	2	0	0	False	2	2	0	0	TP
chr20	50666047	50666994	2	2	0	0	False	2	2	0	0	TP
chr20	50853538	50854029	2	2	0	0	False	2	2	0	0	TP
chr20	51500491	51500981	2	2	0	0	False	2	2	0	0	TP
chr20	53203886	53204574	2	2	2	1	True	4	4	0	0	TP
chr20	53415541	53415961	2	2	0	0	False	2	2	0	0	TP
chr20	55627243	55628551	7	7	3	0	True	8	8	0	0	TP
chr20	55943818	55945908	2	2	2	1	True	5	5	0	0	TP
chr20	56284157	56284508	2	2	0	0	False	2	2	0	0	TP
chr20	56710454	56711294	2	2	0	0	False	2	2	0	0	TP
chr20	57110111	57110886	2	2	0	0	False	2	2	0	0	TP
chr20	57417170	57418335	2	2	0	0	False	2	2	0	0	TP
chr20	57974703	57975303	2	2	0	0	False	2	2	0	0	TP
chr20	58196599	58197037	2	2	0	0	False	2	2	0	0	TP
chr20	58519801	58520473	2	2	0	0	False	2	2	0	0	TP
chr20	58694761	58695512	2	2	0	0	False	2	2	0	0	TP
chr20	59441935	59442374	2	2	0	0	False	2	2	0	0	TP
chr20	60087290	60088066	2	2	0	0	False	2	2	0	0	TP
chr20	60314229	60315121	2	2	2	0	True	5	5	0	0	TP
chr20	60763930	60764735	2	2	0	0	False	2	2	0	0	TP
chr20	61176624	61177075	2	2	0	0	False	2	2	0	0	TP
chr20	61201582	61202575	2	2	4	1	True	7	7	0	0	TP
chr20	61282405	61283770	4	4	2	0	True	6	6	0	0	TP
chr20	61329157	61329678	0	0	0	2	False	0	0	0	2	FP
chr20	61331427	61331854	2	2	0	0	False	2	2	0	0	TP
chr20	61337104	61337691	2	2	0	0	False	2	2	0	0	TP
chr20	61475305	61475827	2	2	0	0	False	2	2	0	0	TP
chr20	61744087	61744755	2	2	0	0	False	2	2	0	0	TP
chr20	61783302	61784940	3	3	0	0	False	3	3	0	0	TP
chr20	61919575	61921475	2	2	0	0	False	2	2	0	0	TP
chr20	62057472	62059240	1	1	3	1	True	7	7	0	0	TP
chr20	62212743	62213975	4	4	0	0	False	4	4	0	0	TP
chr20	62270178	62271195	1	1	3	1	True	4	4	0	0	TP
chr20	62317736	62318560	2	2	0	0	False	2	2	0	0	TP
chr20	62349511	62350033	1	1	5	1	True	6	6	0	0	TP
chr20	62417323	62418163	3	3	0	0	False	3	3	0	0	TP
chr20	62422343	62422892	2	2	0	0	False	2	2	0	0	TP
chr20	62504178	62504715	2	2	0	0	False	2	2	0	0	TP
chr20	62830511	62830939	2	2	1	1	True	2	2	0	0	TP
chr20	62875071	62875657	2	2	3	0	True	3	3	0	0	TP
chr20	62986209	62986906	2	2	0	0	False	2	2	0	0	TP
chr20	63027896	63028267	2	2	1	0	True	4	4	0	0	TP
chr20	63028775	63029503	2	2	0	1	True	2	2	0	0	TP
chr20	63048932	63049513	3	3	1	0	True	2	2	0	0	TP
chr20	63068308	63068900	2	2	0	0	False	2	2	0	0	TP
chr20	63103148	63103593	1	1	0	0	False	1	1	0	0	TP
chr20	63156666	63157426	2	2	0	0	False	2	2	0	0	TP
chr20	63158082	63158827	2	2	0	0	False	2	2	0	0	TP
chr20	63167286	63167728	2	2	1	0	True	3	3	0	0	TP
chr20	63221379	63221977	1	1	2	1	True	2	2	0	0	TP
chr20	63235228	63235551	2	2	0	0	False	2	2	0	0	TP
chr20	63293978	63294367	2	2	0	0	False	2	2	0	0	TP
chr20	63303554	63304959	2	2	0	0	False	2	2	0	0	TP
chr20	63334791	63335605	2	2	0	0	False	2	2	0	0	TP
chr20	63361173	63361572	2	2	0	0	False	2	2	0	0	TP
chr20	63371964	63372792	2	2	0	0	False	2	2	0	0	TP
chr20	63450390	63450714	2	2	0	0	False	2	2	0	0	TP
chr20	63486662	63487517	2	2	0	0	False	2	2	0	0	TP
chr20	63491488	63493165	1	1	3	1	True	4	4	0	0	TP
chr20	63559187	63560064	1	1	2	1	True	4	4	0	0	TP
chr20	63641678	63642236	1	1	2	1	True	2	2	0	0	TP
chr20	63669478	63670597	2	2	0	0	False	2	2	0	0	TP
chr20	63693224	63693985	1	1	6	1	True	10	10	0	0	TP
chr20	63770811	63771204	0	0	0	2	False	0	0	0	2	FP
chr20	63824530	63825245	2	2	0	0	False	2	2	0	0	TP
chr20	63948413	63948859	2	2	1	1	True	3	3	0	0	TP
chr20	64090603	64091490	0	0	0	2	False	0	0	0	2	FP
chr20	64096557	64097265	0	0	0	2	False	0	0	0	2	FP
chr20	64125008	64128075	3	3	2	0	True	10	10	0	0	TP
chr20	64131703	64134056	5	5	8	1	True	24	24	0	0	TP
chr20	64134782	64136487	3	3	1	0	True	4	4	0	0	TP
chr20	64173308	64176630	4	4	7	3	True	17	17	0	0	TP
chr20	64232947	64233646	2	2	0	0	False	2	2	0	0	TP
