chrom	start	end	in_tpbase	in_tp	in_fn	in_fp	refined	out_tpbase	out_tp	out_fn	out_fp
chr20	16226954	16228488	3	3	0	0	False	3	3	0	0
chr20	35580013	35580887	1	1	2	1	True	6	6	0	0
chr20	20320285	20320580	1	1	2	1	True	5	5	0	0
chr20	60087391	60087966	2	2	0	0	False	2	2	0	0
chr20	641836	642466	3	3	2	0	False	3	3	2	0
chr20	63392592	63392813	1	1	0	0	False	1	1	0	0
chr20	58519902	58520373	2	2	0	0	False	2	2	0	0
chr20	30951650	30970388	1	1	0	0	False	1	1	0	0
chr20	60764031	60764635	2	2	0	0	False	2	2	0	0
chr20	63731238	63731792	1	1	0	0	False	1	1	0	0
chr20	37361752	37362059	2	2	1	0	False	2	2	1	0
chr20	10977797	10977978	2	2	0	0	False	2	2	0	0
chr20	14485671	14485749	0	0	0	1	False	0	0	0	1
chr20	63361274	63361472	2	2	0	0	False	2	2	0	0
chr20	4844738	4844907	2	2	0	0	False	2	2	0	0
chr20	5039949	5040500	0	0	0	2	False	0	0	0	2
chr20	41257574	41258204	0	0	0	1	False	0	0	0	1
chr20	63669579	63670497	2	2	0	0	False	2	2	0	0
chr20	61100792	61102688	1	1	4	1	True	11	11	0	0
chr20	63154585	63154996	1	1	1	0	False	1	1	1	0
chr20	5554104	5554186	0	0	0	1	False	0	0	0	1
chr20	61783403	61784840	3	3	1	0	False	3	3	1	0
chr20	64131804	64133956	5	5	8	1	True	25	25	0	0
chr20	50853639	50853929	2	2	0	0	False	2	2	0	0
chr20	63334892	63335505	2	2	0	0	False	2	2	0	0
chr20	4811159	4811230	1	1	0	0	False	1	1	0	0
chr20	50666148	50666894	2	2	0	0	False	2	2	0	0
chr20	7721059	7721320	0	0	0	0	False	0	0	0	0
chr20	62349612	62349933	1	1	5	1	True	7	7	0	0
chr20	47225524	47225646	2	2	0	0	False	2	2	0	0
chr20	48390898	48391232	2	2	0	0	False	2	2	0	0
chr20	51651107	51651510	3	3	0	0	False	3	3	0	0
chr20	31689079	31689528	2	2	0	0	False	2	2	0	0
chr20	47894414	47899006	3	3	0	0	False	3	3	0	0
chr20	62875172	62875557	2	2	3	0	False	2	2	3	0
chr20	63559288	63559964	1	1	4	1	True	4	4	0	0
chr20	63793629	63793788	1	1	0	0	False	1	1	0	0
chr20	16894360	16894436	1	1	0	0	False	1	1	0	0
chr20	62986310	62986806	2	2	0	0	False	2	2	0	0
chr20	38123590	38124706	2	2	1	4	True	8	8	0	0
chr20	4032219	4033602	2	2	2	1	True	4	4	0	0
chr20	5962327	5962411	1	1	0	0	False	1	1	0	0
chr20	20354570	20358324	7	7	9	1	True	12	12	0	0
